"Cell habitat variables file for inSALMO, Clear Creek site ACID Glide",,,,
Generated 9/13/2012 by C. Pilkington,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1,0.037,0.421,0,I
2,0.231,0.944,0,I
3,0.019,3.615,0.218,I
4,0.13,0.466,0.263,I
5,0,9.669,0.962,I
6,0,18.958,0.965,I
7,0,21.456,0.947,U
8,0,11.126,0.949,I
9,0.245,12.373,1,U
10,0.529,8.405,0.999,I
11,0.067,4.471,0.999,I
12,0,1.724,0.872,I
13,0,0.563,0.042,I
14,0,0.716,0.022,I
15,0.09,0.466,0.036,I
16,0.076,0.735,0.564,I
17,0,2.21,0.999,I
18,0.207,6.264,1,I
19,0.041,3.185,0.969,I
20,0.662,1.351,0.091,I
21,0.055,9.661,0.919,I
22,0.264,12.944,0.833,I
23,0.092,14.513,0.944,I
24,0,18.553,0.751,I
25,0,19.755,0.034,I
26,0,18.916,0.604,I
27,0,23.606,0.233,I
28,0.062,1.926,0.513,I
29,0.304,0.602,0.166,I
30,0.322,0.444,0.297,I
31,0.41,0.512,0.035,I
32,0.405,1.266,0.252,I
33,0.134,1.307,0,I
34,0.058,2.57,0,I
35,0.008,6.594,0.69,I
36,0,4.559,0,I
37,0,11.354,0,I
38,0,15.399,0.777,I
39,0,5.299,0.996,I
40,0.221,1.2,0.323,I
41,0.109,0.704,0,I
42,0.116,0.829,0,I
43,0,0.777,0,I
44,0,1.166,0.424,I
45,0,0.532,0.01,I
46,0,0.56,0,I
47,0,5.279,0.985,I
48,0,10.219,0.996,I
49,0,1.613,0.436,I
50,0,0.983,0.162,I
51,0,3.782,0.758,I
52,0,12.606,0.732,I
53,0,10.659,0.8,I
54,0,19.137,0.394,I
55,0,21.538,0.153,I
56,0,13.148,0.121,I
57,0,21.573,0.034,I
58,0,11.475,0,I
59,0,4.613,0.409,I
60,0,4.813,0.115,I
61,0.318,0.454,0,I
62,0,0.791,0,I
63,0.131,1.251,0,I
64,0,1.98,0,I
65,0.097,0.441,0,I
66,0,1.815,0.01,I
67,0,2.999,0.25,I
68,0.14,0.424,0,I
