Spawner Initialization file,Values estimated from CDF&G carcass counts and weighted by Spawning Area Mapping results, JWhite,Provided 15 March 2013
Fall chinook in Clear Creek,Save in .csv format
Year,Arrival reach,Number of spawners,Fraction female,Arrival start date,Arrival end date,Arrival ratio,Female length mean,Female length SD
1998,ShootingGallery,12,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,ShootingGallery,22,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,ShootingGallery,19,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,ShootingGallery,30,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,ShootingGallery,45,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,ShootingGallery,26,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,ShootingGallery,18,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,ShootingGallery,41,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,ShootingGallery,23,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,ShootingGallery,11,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,ShootingGallery,21,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,ShootingGallery,9,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,ShootingGallery,20,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,ShootingGallery,13,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,SideChannelRunPool,5,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,SideChannelRunPool,9,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,SideChannelRunPool,7,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,SideChannelRunPool,12,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,SideChannelRunPool,17,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,SideChannelRunPool,10,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,SideChannelRunPool,7,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,SideChannelRunPool,16,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,SideChannelRunPool,9,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,SideChannelRunPool,4,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,SideChannelRunPool,8,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
