"Cell data file for inSALMO, Lower Gorge site",,,,
"Developed from Clear Creek River2D data, obtained from JWhite 11/30/2012",,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1,0.234,6.704,0,I
2,0.629,7.627,0,I
3,0.275,9.235,0,I
4,0.146,11.205,0,I
5,0,15.442,0,U
6,0.111,20.651,0,U
7,0,26.113,0,I
8,0.049,29.724,0,I
9,0.148,32.613,0,I
10,0,6.203,0,I
11,0.69,8.08,0,I
12,0.264,4.675,0,I
13,0.296,6.16,0,I
14,0.264,1.11,0.164,I
15,0.596,6.479,0,I
16,0.219,9.832,0,I
17,0.235,15.536,0,I
18,0.58,9.142,0,I
19,0.297,14.159,0,I
20,1,12.449,0,I
21,0.134,19.305,0,I
22,0,28.057,0,I
23,0.117,31.583,0,I
24,0.317,33.166,0,I
25,0.178,24.717,0,I
26,0.531,25.338,0,I
27,0.111,22.934,0,I
28,0,19.744,0,I
29,0.593,30.467,0,I
30,0.242,30.301,0,I
31,0.641,31.725,0,I
32,0.354,28.721,0,I
33,0.637,33.154,0.143,I
34,0,30.616,0.761,I
35,0.545,27.103,0.47,I
36,0.173,23.76,0,I
37,0.195,12.76,0,I
38,0.575,4.121,0,I
39,0.191,5.846,0,I
40,0.218,6.533,0,I
41,0.522,24.563,0,I
42,0.587,27.768,0,I
43,0.388,19.238,0,I
44,0.816,24.507,0,I
45,0.082,11.901,0,I
46,0.119,20.166,0.033,I
47,0.374,23.338,0.456,I
48,0.351,29.08,0,I
49,1,33.262,0,I
50,0.73,31.44,0,I
51,0.266,29.315,0,I
52,0,31.948,0.249,I
53,0.767,32.166,0.064,I
54,0.532,28.406,0.428,I
55,0.669,25.837,0.393,I
56,0.343,28.71,0.738,I
57,0.265,31.056,0.561,I
58,0.524,34.77,0.371,I
59,0.364,29.796,0.612,I
60,0.473,19.218,0.743,I
61,0.344,20.448,0.999,I
62,0.333,2.535,0,I
63,0.332,1.03,0.331,I
64,0.312,5.531,0.674,I
65,0.236,4.369,0.119,I
66,0.199,4.415,0.904,I
67,0.333,9.776,0.367,I
68,0.631,13.742,0.224,I
69,0.284,14.916,0.043,I
70,0.249,17.061,0.871,I
71,0.471,9.157,0.154,I
72,0.158,2.414,0,I
73,0.249,7.035,0.018,I
74,0.314,11.157,0.796,I
75,0.303,14.326,0.932,I
76,0.159,19.086,0.905,I
77,0.266,22.259,0.995,I
78,0.076,14.92,0.546,I
79,0.204,7.511,0,I
80,0,9.249,0,I
81,0,10.664,0.025,I
82,0.526,2.923,0,I
83,0.472,4.233,0,I
84,0.538,4.001,0,I
85,0.932,4.463,0,I
86,0.558,1.002,0,I
87,0.57,7.499,0.045,I
88,0.502,3.96,0,I
89,0.485,6.622,0.166,I
90,0.053,6.98,0,I
91,0.182,8.798,0.288,I
92,0.192,11.857,0.781,I
93,0.734,10.683,0.852,I
94,0.181,14.808,0.999,I
95,0.214,17.288,1,I
96,0.253,16.696,0.999,I
97,0.288,25.029,0.972,I
98,0.356,14.884,1,I
99,0.196,24.381,0.433,I
100,0.471,12.56,0.647,I
101,0.252,9.369,0.28,I
102,0.425,11.225,0.981,I
103,0.256,2.039,0.267,I
104,0.293,2.426,0.303,I
105,0.433,4.792,0.683,I
106,0.26,11.542,0.8,I
107,0.221,16.278,0.905,I
