"Hydraulic data input file for inSALMO, Clear Creek site NorthStateRiffle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created from USFWS Clear Creek River2D data,From J. White 12/4/2012,,,12/4/2012 10:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flows,1.42,,2.12,,2.83,,3.54,,4.25,,4.96,,5.66,,6.37,,7.08,,7.79,,8.5,,9.91,,11.33,,12.74,,14.16,,15.57,,16.99,,18.41,,19.82,,21.24,,22.65,,24.07,,25.5,,56.63,,141.6,,1416,
poly-id,depth@50,veloc@50,depth@075,veloc@075,depth@100,veloc@100,depth@125,veloc@125,depth@150,veloc@150,depth@175,veloc@175,depth@200,veloc@200,depth@225,veloc@225,depth@250,veloc@250,depth@275,veloc@275,depth@300,veloc@300,depth@350,veloc@350,depth@400,veloc@400,depth@450,veloc@450,depth@500,veloc@500,depth@550,veloc@550,depth@600,veloc@600,depth@650,veloc@650,depth@700,veloc@700,depth@750,veloc@750,depth@800,veloc@800,depth@850,veloc@850,depth@900,veloc@900,depth@2000,veloc@2000,depth@5000,veloc@5000,depth@50000,veloc@50000
1,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0,0.08,0.02,0.11,0.16,0.11,0.27,0.13,0.45,0.14,0.63,0.16,0.76,0.18,0.88,0.2,0.99,0.22,1.1,0.23,1.19,0.25,1.26,0.28,1.32,0.3,1.36,0.32,1.38,0.34,1.4,0.96,1.4,1.87,1.77,8.15,3.16
2,0,0,0.01,0,0.03,0,0.04,0.01,0.06,0.01,0.08,0.01,0.09,0.03,0.11,0.09,0.13,0.13,0.14,0.17,0.16,0.2,0.19,0.26,0.22,0.35,0.25,0.47,0.28,0.56,0.3,0.61,0.33,0.68,0.35,0.75,0.37,0.82,0.4,0.9,0.42,0.97,0.44,1.04,0.46,1.1,1.11,1.33,2.02,1.81,8.36,3.69
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.06,0.01,0.07,0.04,0.09,0.2,0.1,0.42,0.12,0.69,0.14,0.82,0.16,0.93,0.18,1.03,0.2,1.12,0.22,1.19,0.25,1.26,0.27,1.3,0.29,1.34,0.31,1.37,0.93,1.47,1.84,1.94,8.13,3.91
4,0,0,0,0,0,0,0.01,0,0.02,0,0.03,0.01,0.04,0.01,0.06,0.01,0.07,0.03,0.08,0.06,0.09,0.13,0.12,0.32,0.14,0.52,0.17,0.7,0.19,0.82,0.22,0.91,0.24,0.99,0.26,1.07,0.28,1.13,0.31,1.18,0.33,1.23,0.35,1.27,0.37,1.31,0.98,1.49,1.89,2.03,8.17,4.49
5,0,0,0.01,0,0.02,0,0.03,0,0.04,0.01,0.05,0.01,0.06,0.01,0.08,0.02,0.1,0.02,0.12,0.07,0.14,0.12,0.17,0.2,0.19,0.28,0.22,0.29,0.24,0.37,0.27,0.45,0.29,0.51,0.31,0.54,0.34,0.58,0.36,0.62,0.38,0.66,0.4,0.71,0.42,0.75,1.08,1.17,2,1.47,8.33,2.49
6,0.04,0.01,0.07,0.03,0.1,0.08,0.12,0.12,0.14,0.18,0.16,0.26,0.17,0.34,0.18,0.34,0.2,0.41,0.21,0.49,0.22,0.58,0.24,0.74,0.27,0.85,0.3,0.94,0.33,1.02,0.35,1.08,0.37,1.14,0.4,1.19,0.42,1.24,0.44,1.29,0.46,1.33,0.48,1.36,0.5,1.39,1.12,1.52,2.02,2.08,8.31,4.91
7,0.04,0.01,0.07,0.05,0.1,0.14,0.12,0.26,0.14,0.34,0.15,0.45,0.17,0.58,0.18,0.71,0.19,0.78,0.2,0.82,0.22,0.84,0.24,0.85,0.27,0.87,0.3,0.9,0.33,0.93,0.36,0.96,0.38,1,0.41,1.03,0.43,1.07,0.45,1.11,0.48,1.14,0.5,1.18,0.52,1.21,1.16,1.41,2.07,1.97,8.41,4.58
8,0.07,0.11,0.1,0.32,0.12,0.46,0.15,0.58,0.17,0.65,0.19,0.71,0.2,0.76,0.23,0.8,0.25,0.82,0.26,0.84,0.28,0.86,0.32,0.89,0.35,0.9,0.38,0.92,0.41,0.94,0.43,0.96,0.46,0.98,0.48,1,0.51,1.02,0.53,1.05,0.55,1.08,0.58,1.11,0.6,1.14,1.24,1.36,2.15,1.91,8.5,4.28
