"inSALMO cell data file, Clear Creek site Restoration 3A, 2008 data",,,,
Developed from USFWS data,"From Jason White, 11/15/2012",,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1,0,2.362,0.004,I
2,0.446,2.569,0,I
3,0.163,4.212,0,I
4,0.294,6.897,0.095,I
5,0.68,5.687,0,I
6,1,6.246,0,I
7,0,9.521,0,I
8,0.183,8.244,0,I
9,0.473,8.374,0,I
10,0,10.835,0,I
11,0,14.514,0,U
12,0,16.768,0,I
13,0,14.263,0,I
14,0,19.439,0,I
15,0,9.79,0.498,U
16,0,20.128,0.388,I
17,0,9.571,0.954,I
18,0.313,6.655,0.879,I
19,0,23.024,0.98,I
20,0,7.663,1,I
21,0,18.993,1,I
22,0,15.589,1,I
23,0,6.622,0.341,I
24,0.391,7.888,0.368,I
25,0,1.405,0,I
26,0,3.834,0.007,I
27,0.118,0.804,0,I
28,0,9.99,0.744,I
29,0.457,4.764,0,I
30,0.802,0.877,0,I
31,0.248,0.877,0,I
32,0.179,1.415,0,I
33,0,1.513,0.261,I
34,0.261,7.143,0.097,I
35,0,9.807,0.993,I
36,0,13.101,0.999,I
37,0,19.266,0.898,I
38,0,23.465,0.148,I
39,0,20.941,0,I
40,0,19.929,0,I
41,0,10.985,0,I
42,0,9.732,0,I
43,0,15.158,0,I
44,0.201,2.952,0,I
45,1,2.491,0,I
46,1,1.369,0,I
47,0.555,5.039,0,I
48,0.085,6.677,0,I
49,0.989,3.909,0,I
50,0.823,2.54,0,I
51,0,11.247,0,I
52,0,9.569,0,I
53,0,16.648,0,I
54,0,15.773,0,I
55,0,22.438,0.059,I
56,0,19.941,0.847,I
57,0,12.003,0.992,I
58,0,5.815,0.596,I
59,0,14.149,0.888,I
60,0,21.141,1,I
61,0,3.459,0.065,I
62,0,5.648,0.277,I
63,0,10.672,0.359,I
64,0,4.217,0.303,I
65,0,1.569,0,I
66,0,1.756,0,I
67,0,1.251,0,I
68,0,0.661,0,I
69,0,0.585,0,I
70,0,0.735,0,I
71,0,0.712,0,I
72,0.21,0.669,0,I
73,0,0.445,0,I
74,0,0.808,0,I
75,0,0.801,0,I
76,0,0.677,0,I
77,0.512,0.578,0,I
78,0.223,1.73,0,I
79,0,0.623,0,I
80,0,1.592,0,I
81,0,9.027,0.076,I
82,0,2.703,0,I
83,0.229,0.952,0,I
84,0.063,2.511,0,I
85,0,5.141,0,I
86,0,10.066,0,I
87,0,7.688,0,I
88,0,11.174,0,I
89,0,17.156,0.069,I
90,0,20.923,0.857,I
91,0,19.128,0.608,I
92,0,23.514,0.967,I
93,0,19.43,0.582,I
94,0,9.855,0.556,I
95,0,4.723,0.235,I
96,0,2.768,0,I
97,0,11.025,0.998,I
98,0,4.402,0.903,I
99,0,0.908,0,I
100,0.121,2.797,0.414,I
101,1,1.261,0,I
102,0.163,0.951,0.011,I
103,1,1.213,0,I
104,1,1.406,0,I
105,0.156,3.368,0.082,I
106,0.511,3.309,0,I
107,0,10.7,0.8,I
108,0,8.445,0.11,I
109,0.175,5.054,0,I
110,0,3.586,0,I
111,0,8.405,0,I
112,0,6.434,0,I
113,0,1.944,0,I
114,0,1.628,0,I
115,0,14.592,0.397,I
116,0,13.295,0,I
117,0,23.698,0.676,I
118,0,24.785,0.067,I
119,0,21.009,0.489,I
120,0,20.997,0,I
121,0,21.159,0,I
122,0,22.03,0.232,I
123,0,15.949,0.183,I
124,0,22.156,0,I
125,0,18.192,0.033,I
126,0,19.102,0,I
127,0,7.077,0,I
128,0,8.483,0,I
129,0,5.417,0,I
130,0,1.885,0,I
131,0,7.695,0,I
132,0,2.795,0,I
133,0,12.036,0,I
134,0,14.002,0,I
135,0,14.626,0,I
136,0,15.941,0,I
137,0,13.507,0,I
138,0,12.137,0,I
139,0,8.822,0,I
140,0,12.006,0,I
141,0,2.094,0,I
142,0,4.317,0,I
143,0,2.264,0,I
144,0,8.591,0,I
145,0,5.227,0,I
146,0,7.415,0,I
147,0,3.644,0,I
148,0,4.269,0,I
149,0,4.949,0,I
150,0,4.486,0,I
151,0,2.153,0,I
152,0,1.287,0,I
153,0,3.082,0,I
154,0,2.786,0.329,I
155,0,8.58,0,I
156,0,4.875,0.585,I
157,0.594,0.773,0,I
158,0.15,0.909,0,I
159,0,0.906,0,I
160,0,1.234,0,I
161,0,1.57,0,I
162,0,1.172,0,I
163,0.177,1.006,0,I
164,0,3.25,0,I
165,0,3.58,0,I
166,0,1.195,0,I
167,0,1.397,0,I
168,0,0.793,0,I
169,0,1.414,0,I
170,0,1.491,0,I
171,0.402,1.071,0,I
172,0,1.448,0,I
173,0,2.205,0,I
174,0.46,1.959,0,I
175,0,3.379,0,I
176,0.265,1.683,0,I
177,0,0.841,0,I
178,0,1.295,0,I
179,0,1.297,0,I
180,0,1.254,0,I
181,0.133,1.345,0,I
182,0.368,0.776,0,I
183,1,0.578,0,I
184,0,0.858,0,I
185,0,0.836,0,I
186,0,2.68,0,I
187,0,0.843,0,I
188,0,1.191,0,I
189,0,1.562,0,I
190,1,1.001,0,I
191,0.289,1.176,0,I
192,0,1.951,0,I
193,0.432,0.979,0,I
194,0,1.243,0,I
195,0,1.378,0,I
196,0,1.701,0,I
197,0,0.668,0.066,I
198,0,12.537,0.324,I
199,0,9.446,0.995,I
200,0,17.291,0.55,I
201,0,16.393,0.999,I
202,0,23.627,0,I
203,0,21.388,0.418,I
204,0,23.233,0,I
205,0,22.35,0.325,I
206,0,18.006,0,I
207,0,16.828,0,I
208,0,13.78,0,I
209,0,8.319,0,I
210,0,16.006,0,I
211,0,8.912,0.005,I
212,0,10.538,0,I
213,0,4.268,0,I
214,0,2.194,0,I
215,0,1.431,0,I
216,0,1.77,0.051,I
217,0,3.259,0.598,I
218,0,7.588,0.885,I
219,0,13.369,0.315,I
220,0,11.394,0.999,I
221,0.075,1.87,0.052,I
222,0,1.092,0,I
223,0.372,1.377,0,I
224,0.359,5.899,0.86,I
225,0,6.892,0.765,I
226,0,12.581,0.967,I
227,0.274,6.232,0.88,I
228,0,17.584,0.974,I
229,0,17.394,0.889,I
230,0,20.285,1,I
231,0,24.079,0.446,I
232,0,18.91,0.008,I
233,0,23.625,0.444,I
234,0,24.838,0.335,I
235,0,22.381,0.712,I
236,0,21.812,1,I
237,0,21.658,0.996,I
