"inSALMO cell data file, Clear Creek site Restoration 3C",,,,
From J. White 12/4/2012,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1,0,0.83,0,I
2,1,0.963,0,I
3,0.599,2.677,0,I
4,0,4.942,0,I
5,0,7.648,0.613,U
6,0,10.393,0.088,I
7,0,13.017,0,U
8,0,11.419,0,I
9,0,11.396,0.732,I
10,0,15.386,0,I
11,0,7.437,0,I
12,0,7.83,0.108,I
13,1,14.161,0,I
14,0.335,14.658,0.015,I
15,0.69,1.959,0.025,I
16,0,4.362,0,I
17,0.706,1.4,0.001,I
18,0.82,1.818,0.17,I
19,0.428,5.245,0,I
20,0,12.674,0,I
21,1,4.672,0,I
22,1,9.806,0,I
23,0,4.56,0,I
24,0,1.042,0,I
25,0,9.695,0.118,I
26,0,7.258,0.236,I
27,0,13.546,0.229,I
28,0,8.816,0.738,I
29,0,15.452,0.199,I
30,0,9.566,0.73,I
31,0,12.155,0.14,I
32,0,6.386,0.738,I
33,0,6.518,0.018,I
34,0,3.409,0.25,I
35,0.918,2.03,0.003,I
36,0,3.021,0,I
37,0.411,0.717,0,I
38,0.938,2.048,0,I
39,0,0.728,0,I
40,0,3.05,0,I
41,0.367,2.303,0,I
42,0.237,3.541,0,I
43,0.461,5.26,0,I
44,1,5.984,0,I
45,0.131,8.498,0.53,I
46,0,12.253,0.999,I
47,0,6.765,0.966,I
48,0,3.839,0.981,I
49,0,1.484,0.487,I
50,0,2.81,0.948,I
51,0,0.886,0.019,I
52,1,6.93,0.339,I
53,0.533,9.687,0.013,I
54,1,0.746,0.057,I
55,1,1.572,0,I
56,0.091,0.684,0,I
57,0.794,0.907,0.029,I
58,0,0.679,0,I
59,0,5.115,0,I
60,0.948,6.506,0,I
61,0,9.654,0,I
62,0,4.82,0,I
63,0.942,1.673,0,I
64,0.575,1.738,0,I
65,0.879,2.115,0,I
66,1,1.982,0,I
67,0,10.666,0.104,I
68,0,11.011,0.767,I
69,0,15.33,0.739,I
70,0.192,11.748,0.987,I
71,0,8.661,0.959,I
72,1,3.154,0.004,I
73,0.962,0.909,0,I
74,1,2.39,0,I
75,0.143,3.507,0.06,I
76,0.593,4.888,0.06,I
77,0,9.945,1,I
78,0.404,10.975,0.921,I
79,0.303,13.292,0.882,I
80,0.184,17.232,0.904,I
81,0,10.349,0.937,I
82,0,8.727,0.676,I
83,0,12.534,0.996,I
84,0,4.076,0.092,I
85,0,4.08,0.584,I
86,0,3.917,0.186,I
87,0,0.86,0.004,I
88,0.703,1.81,0,I
89,0.906,1.675,0,I
90,1,3.071,0,I
91,1,1.601,0,I
92,0.682,1.008,0,I
93,0.882,1.822,0,I
94,0.361,1.549,0,I
95,0.841,0.98,0,I
96,0,3.575,0,I
97,0.978,1.83,0,I
98,0.347,5.565,0,I
99,0,6.132,0.574,I
100,0.426,1.559,0.019,I
101,0,14.855,0.984,I
102,0,15.407,0.948,I
103,0,18.809,0.795,I
104,0,18.811,0.856,I
105,0.082,8.446,0.049,I
106,0,21.287,0.998,I
107,0.381,11.229,0.254,I
108,0.543,6.636,0,I
109,0.582,3.644,0,I
110,0.748,2.115,0,I
111,0,0.883,0,I
112,0,1.317,0,I
113,0.447,0.582,0,I
114,1,0.585,0,I
115,0.068,1.097,0,I
116,0.079,4.15,0,I
117,0,4.748,0,I
118,0,10.799,0.518,I
119,0,18.07,0.999,I
120,0,13.193,0.709,I
121,0,14.158,0.625,I
122,0,11.617,0.559,I
123,1,1.195,0,I
124,1,1.045,0,I
125,0.134,3.459,0,I
126,0.444,1.885,0,I
127,0,8.243,0.018,I
128,0,9.448,0.922,I
129,0,2.804,1,I
130,0,2.553,0.538,I
131,0,2.307,0.999,I
132,0.247,2.547,0.039,I
133,1,2.882,0.589,I
134,0.194,1.393,0,I
135,0.268,1.33,0,I
136,0.378,1.283,0,I
137,0.435,2.375,0,I
138,0,2.002,0,I
139,1,2.543,0.019,I
140,0,1.599,0,I
141,0.663,1.604,0,I
142,0,1.484,0,I
143,0.657,4.717,0,I
144,0.736,3.529,0,I
145,0.94,1.811,0,I
146,0.4,1.808,0,I
147,0.419,1.615,0,I
148,0.443,2.068,0,I
149,0.99,4.075,0,I
150,0,5.617,0.183,I
151,0.625,1.997,0,I
152,0,1.863,0,I
153,0,1.705,0,I
154,1,2.002,0.004,I
155,0,4.943,0.061,I
156,0,12.932,0.783,I
157,0,2.388,0.834,I
158,0,8.566,0.717,I
159,0,14.901,0.534,I
160,0.328,7.535,0.007,I
161,0.805,5.21,0.015,I
162,0,15.822,0.932,I
163,1,2.962,0,I
164,0.698,5.945,0.249,I
165,0,7.657,0.888,I
166,0.486,2.546,0.427,I
167,0.479,2.032,0,I
168,0.789,1.9,0,I
169,0.817,10.819,0.98,I
170,0.41,9.211,0.999,I
171,0.777,9.72,0.727,I
172,0.442,3.372,0.982,I
173,1,3.362,0.843,I
174,0,1.199,0.295,I
175,0.941,1.519,0.105,I
176,0,7.275,0.924,I
177,0,13.982,1,I
178,0,8.682,0.999,I
179,0.36,5.143,0.484,I
180,0.323,3.25,0.354,I
181,1,3.314,0.531,I
182,1,5.07,0.269,I
183,0,8.061,0.194,I
184,0,11.871,0.075,I
185,0,11.049,0.201,I
186,0,6.703,0.171,I
187,0,1.789,0,I
188,0,8.838,0,I
189,0.045,6.951,0,I
190,0.648,3.773,0,I
191,0.344,1.203,0,I
192,0,1.3,0,I
193,0,0.691,0,I
194,0.91,0.602,0,I
195,0,0.87,0,I
196,0,2.341,0,I
197,0,0.976,0,I
198,0,0.693,0,I
199,1,3.03,0,I
200,0,0.878,0,I
201,0,6.907,0.642,I
202,0,0.953,0.021,I
203,1,1.485,0,I
204,0.83,1.738,0.136,I
205,0,4.395,0.47,I
206,0,6.575,0.05,I
207,0,12.143,0.031,I
208,0,8.314,0.425,I
209,0,11.478,0,I
210,0,2.35,0.244,I
211,0.173,0.949,0,I
212,0,6.03,0,I
213,0.467,5.09,0,I
214,0.586,2.027,0,I
215,1,0.957,0,I
216,1,1.594,0.122,I
217,0.659,4.766,0.516,I
218,1,1.961,0.771,I
219,0,4.623,0.245,I
220,0,8.901,0.104,I
221,0,15.088,0,I
222,0,15.367,0.002,I
223,0,11.361,0,I
224,0,9.836,0.033,I
225,0.224,5.453,0.004,I
226,1,3.656,0,I
227,1,2.254,0,I
228,0.157,1.474,0.718,I
229,0.482,2.6,0.984,I
230,0,4.907,0.953,I
231,0,8.342,0.998,I
232,0,13.836,0.707,I
233,0,15.311,0.027,I
234,0,9.971,0.828,I
235,0,5.228,0.957,I
236,0.729,1.902,0.073,I
237,0.812,1.311,0,I
238,0.693,0.859,0.015,I
239,0.57,1.853,0.344,I
240,0,5.148,0.985,I
241,0.359,1.433,0.025,I
242,0,10.54,0.981,I
243,0,13.996,0.755,I
244,0,7.966,0.973,I
245,0.543,3.772,0.765,I
246,1,1.381,0.328,I
247,0.882,2.271,0.506,I
248,0.14,3.407,0.792,I
249,0.948,0.976,0,I
250,1,1.147,0.068,I
251,0,1.06,0.093,I
252,0,1.69,0.533,I
253,0,5.348,0.999,I
254,0,3.303,0.865,I
255,0,7.911,1,I
256,0,8.156,0.959,I
257,0,1.816,0.851,I
258,1,1.056,0,I
259,1,1.826,0.584,I
260,0.926,0.979,0.126,I
261,0.42,1.687,0.886,I
262,0,4.342,0.962,I
263,0,9.737,0.999,I
264,0,11.6,0.999,I
265,0,5.366,0.979,I
266,0,13.577,0.999,I
267,0,2.373,0.212,I
268,0,4.632,0.951,I
269,0.638,2.011,0.539,I
270,0.185,1.158,0.28,I
271,0.578,0.714,0.445,I
272,0.672,0.967,0,I
273,0.487,0.945,0,I
274,0,0.77,0,I
275,0.374,2.364,0,I
