"Cell habitat variables file, Shooting Gallery Site, Clear Creek",,,,
Developed from USFWS data,From Jason W 12/4/2012,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1,0,1.755,0.826,I
2,0.116,0.566,0.831,I
3,0.257,0.836,0.763,I
4,0.436,2.8,0.974,I
5,0.025,5.656,0.963,I
6,0,2.766,0.767,I
7,0,7.187,0.963,I
8,0,9.553,0.743,I
9,0,13.835,0.759,I
10,0.373,26.075,0.067,I
11,0.165,34.959,0,U
12,0.479,22.236,0.241,U
13,0,11.32,0.945,I
14,0.341,9.528,0.553,I
15,0,4.141,1,I
16,0.329,4.409,0.034,I
17,0.451,10.045,0.949,I
18,0.201,15.09,0.956,I
19,0.143,1.914,0.385,I
20,0.26,3.2,0.233,I
21,0.153,9.137,0.918,I
22,0,23.771,0.106,I
23,0.199,30.972,0.001,I
24,0.36,28.406,0,I
25,0,21.638,0,I
26,0.421,17.017,0.082,I
27,0.347,11.11,0.512,I
28,0,16.047,0.565,I
29,0.579,9.526,0.988,I
30,0.293,8.228,1,I
31,0.22,3.801,0.999,I
32,0.545,0.765,0.666,I
33,0.14,1.066,0.057,I
34,0.134,5.333,0.902,I
35,0.066,1.408,0.863,I
36,0,8.93,1,I
37,0.074,3.862,0.945,I
38,0.1,5.482,1,I
39,0.096,0.812,0.235,I
40,0.377,2.255,0.909,I
41,0.494,3.053,0.988,I
42,0.222,5.935,0.999,I
43,0.302,7.38,0.999,I
44,0.39,6.001,0.791,I
45,0.225,9.331,0.796,I
46,0.141,0.775,0.226,I
47,0.016,10.13,0.367,I
48,0.051,6.845,0.01,I
49,0.421,10.351,0.108,I
50,0,14.941,0,I
51,0,20.292,0,I
52,0,22.31,0,I
53,0,26.528,0,I
54,0,24.109,0.132,I
55,0,30.87,0.091,I
56,0.726,20.542,0.815,I
57,0.312,25.215,0.345,I
58,0,34.601,0.018,I
59,0.102,6.852,1,I
60,0.479,15.472,0.729,I
61,0.546,7.44,0.674,I
62,0.209,1.273,1,I
63,0,0.444,0.748,I
64,0.251,0.274,0.999,I
65,0.308,0.3,0.922,I
66,0.17,0.779,0.089,I
67,0,0.775,0.947,I
68,0.867,0.836,0.903,I
69,0.724,0.844,0.943,I
70,0.335,6.119,0.973,I
71,0.241,14.849,0.932,I
72,0.078,30.54,0.399,I
73,0.183,40.087,0,I
74,0.5,21.075,0.055,I
75,0,25.653,0,I
76,0.185,31.652,0,I
77,0,13.512,0.688,I
78,0,6.801,0.892,I
79,0.19,1.016,0.718,I
80,0.423,1.194,0.566,I
81,0.311,5.453,0.953,I
82,0.469,11.845,0.768,I
83,0.042,12.552,0.759,I
84,0,12.03,0.807,I
85,0,6.656,0.19,I
86,0,19.623,0.379,I
87,0,26.152,0,I
88,0,25.886,0,I
89,0,33.931,0,I
90,0.71,39.56,0.012,I
91,0,42.397,0.478,I
92,0,33.394,0.849,I
93,0.221,20.224,0.999,I
94,0,5.096,0.994,I
95,0,16.59,1,I
96,0.04,31.391,0.927,I
97,0.3,33.667,0.053,I
98,0,22.407,0,I
99,0,11.818,0.018,I
100,0.192,9.576,0.964,I
101,0.644,10.914,0.887,I
102,0.366,7.48,0.833,I
103,0.644,6.908,0.999,I
104,0,4.183,0.078,I
105,1,8.396,0.389,I
106,0.228,7.467,0.013,I
107,0.12,4.332,0.843,I
108,0.339,3.324,0.123,I
109,0.297,14.154,0,I
110,0.139,19.302,0.12,I
111,0,23.573,0,I
112,0,20.272,0,I
113,0,32.294,0.031,I
114,0.059,18.549,0,I
115,0,26.921,0.296,I
116,0,28.701,0.362,I
117,0,31.193,0.397,I
118,0.232,21.062,0.043,I
119,0.077,28.319,0.271,I
120,0.79,37.751,0.787,I
121,0.443,33.373,0.969,I
122,0.759,22.06,0.999,I
123,0.229,14.503,0.999,I
124,0.974,7.633,0.995,I
125,0.88,10.229,0.999,I
126,0,17.362,0.999,I
127,0.36,27.197,0.999,I
128,0.307,24.841,0.637,I
129,0,31.944,0.92,I
130,0,27.378,0.888,I
131,0.077,18.203,0.971,I
132,0.81,10.328,0.839,I
133,0.782,11.623,0,I
134,0.151,18.692,0,I
135,0.896,8.153,0,I
136,0,12.76,0,I
137,0,19.316,0,I
138,0,28.689,0,I
139,0,30.963,0,I
140,0,28.252,0.411,I
141,1,23.099,0.745,I
142,0.209,31.436,0,I
143,1,26.084,0,I
144,0,2.964,0,I
145,0.024,0.302,0,I
146,0.253,3.128,0.214,I
147,0.903,7.586,0,I
148,0.556,16.03,0,I
149,0.141,12.773,0,I
150,0.766,11.101,0.005,I
151,0.123,2.204,0.08,I
152,0,8.428,0,I
153,0.055,12.822,0.023,I
154,1,18.866,0.183,I
155,0.598,22.476,0,I
156,1,26.031,0,I
157,1,31.781,0,I
158,0.643,30.864,0,I
159,0.994,33.216,0,I
160,0,34.094,0,I
161,0,26.171,0,I
