Cell data file for inSALMO,"Clear Creek, Tarzan Pool site",,,
"From J. White, 12/4/2012",11/30/2012,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1,0.174,0.828,0,I
2,0.168,0.79,0.023,I
3,0.336,0.334,0,I
4,0,1.805,0,I
5,0.424,3.363,0.157,I
6,0.566,10.935,0.15,I
7,0.187,6.941,0,I
8,0.149,16.205,0.052,U
9,0,16.587,0.113,U
10,0.33,8.572,0.159,I
11,0.293,3.477,0,I
12,0.347,0.473,0,I
13,0.073,0.639,0,I
14,0.057,0.346,0,I
15,0.018,0.264,0,I
16,0,0.693,0,I
17,0.564,0.652,0,I
18,0,1.29,0,I
19,0.036,1.251,0,I
20,0,6.46,0,I
21,0,14.74,0,I
22,0.144,20.273,0,I
23,0,10.544,0,I
24,0.18,12.563,0,I
25,0.018,2.262,0,I
26,0,5.635,0,I
27,0,0.503,0,I
28,0.055,2.271,0,I
29,0.376,0.532,0,I
30,0,1.066,0,I
31,0.279,0.407,0,I
32,0.286,0.99,0,I
33,0.16,3.403,0,I
34,0,8.881,0,I
35,0.071,14.695,0,I
36,0.084,17.69,0,I
37,0.203,16.495,0,I
38,0,11.469,0,I
39,0.082,5.525,0,I
40,0,1.978,0,I
41,0,1.111,0,I
42,0.121,0.723,0,I
43,0.024,0.354,0,I
44,0.087,0.465,0,I
45,0.004,0.748,0,I
46,0,2.549,0,I
47,0,1.081,0,I
48,0.085,0.631,0,I
49,0.176,0.596,0,I
50,0.16,0.665,0,I
51,0.494,6.214,0,I
52,0.203,0.417,0,I
53,0.237,1.526,0,I
54,0.155,1.068,0,I
55,0,3.246,0,I
56,0.294,0.748,0,I
57,0,0.407,0,I
58,0.169,1.182,0,I
59,0.109,1.764,0,I
60,0.059,1.219,0,I
61,0.397,3.677,0,I
62,0.423,6.788,0,I
63,0.654,8.05,0,I
64,0.315,11.581,0,I
65,0.316,16.061,0,I
66,0.569,13.215,0,I
67,0.179,8.829,0,I
68,0.063,4.615,0,I
69,0.261,1.647,0,I
70,0.233,0.961,0,I
71,0,0.549,0,I
72,0.118,0.875,0,I
73,0.238,3.027,0,I
74,0,3.302,0,I
75,0.15,7.105,0,I
76,0,11.002,0,I
77,0,5.336,0,I
78,0.668,13.885,0,I
79,0.345,13.761,0,I
80,0.577,17.571,0,I
81,0.497,3.728,0,I
82,0.151,6.729,0,I
83,0,3.791,0,I
84,0.019,0.795,0,I
85,0.394,0.474,0,I
86,0.111,2.518,0,I
87,0.832,3.492,0,I
88,0.656,0.914,0,I
89,0.461,1.912,0,I
90,1,12.208,0,I
91,0.698,6.236,0,I
92,0,3.112,0,I
93,0.437,5.067,0,I
94,0.386,3.966,0,I
95,1,0.814,0,I
96,0.424,4.872,0,I
97,0.495,10.498,0,I
98,0.422,12.195,0,I
99,0.359,10.485,0,I
100,0.321,7.764,0,I
101,0,11.347,0,I
102,0,11.963,0,I
103,0.266,11.661,0,I
104,0.376,6.682,0,I
105,0.106,14.298,0,I
106,0.062,5.913,0,I
107,0.183,9.122,0,I
108,0.056,0.772,0,I
109,0.405,3.369,0,I
110,0.217,8.706,0,I
111,0.125,1.149,0,I
112,0.115,2.425,0,I
113,0.192,4.848,0,I
114,0.144,0.397,0,I
115,0.119,0.481,0,I
116,0.073,1.105,0,I
117,0.058,0.692,0,I
118,0.214,0.691,0,I
119,0.107,0.64,0,I
120,0.075,1.533,0,I
121,0.174,0.323,0,I
122,0.071,0.585,0,I
123,0.056,0.564,0,I
124,0,0.635,0,I
125,0,2.27,0,I
126,0.074,3.942,0,I
127,0,6.275,0,I
128,0.168,3.288,0,I
129,0.143,9.135,0,I
130,0.211,5.92,0,I
131,0.32,8.277,0,I
132,0.098,10.276,0,I
133,0.261,11.796,0,I
134,0.266,13.927,0,I
135,0.182,14.796,0,I
136,0.26,13.836,0,I
137,0.325,13.59,0,I
138,0.257,6.024,0,I
139,0.171,2.392,0,I
140,0.166,9.37,0,I
141,0,6.447,0,I
142,0.121,6.512,0,I
143,0,3.95,0,I
144,0,1.1,0,I
145,0,0.917,0,I
146,0.053,0.901,0,I
147,0.069,0.711,0,I
148,0.123,0.936,0,I
149,0.465,0.51,0,I
150,0.226,0.481,0,I
151,0.314,0.668,0,I
152,0.162,1.383,0,I
153,0.191,0.951,0,I
154,0.372,0.519,0,I
155,0.211,0.688,0,I
156,0.116,0.343,0,I
157,0.043,0.273,0,I
158,0.169,0.454,0,I
159,0,1.342,0,I
160,0.174,0.32,0,I
161,0.087,2.318,0,I
162,0.172,0.454,0,I
163,0.294,0.573,0,I
164,0.154,1.315,0,I
165,0.25,5.283,0,I
166,0.179,2.404,0,I
167,0.307,3.094,0,I
168,0.547,3.424,0,I
169,0.263,6.101,0,I
170,0.166,8.241,0,I
171,0.774,10.69,0,I
172,0.283,13.714,0,I
173,0.164,11.45,0,I
174,0.341,12.105,0,I
175,0.388,9.796,0,I
176,0.046,13.451,0,I
177,0.754,14.753,0,I
178,0.121,9.728,0,I
179,0.095,12.724,0,I
180,0.23,14.361,0,I
181,0,16.74,0,I
182,0.105,16.689,0,I
183,0.191,12.511,0,I
184,0,9.745,0,I
185,0.235,7.004,0,I
186,0.107,13.043,0,I
187,0.236,13.215,0,I
188,0,4.999,0,I
189,0.025,9.191,0,I
190,0.04,7.457,0,I
191,0.241,12.718,0,I
192,0.264,5.913,0,I
193,0,7.723,0,I
194,0.096,6.197,0,I
195,0.246,3.178,0,I
196,0.354,0.563,0,I
197,0.544,1.624,0,I
198,0.089,5.38,0,I
199,0.467,3.221,0,I
200,0.226,0.414,0,I
201,0.048,5.414,0,I
202,0.055,6.881,0,I
203,0.116,10.167,0,I
204,0.148,11.94,0,I
205,0.177,15.394,0,I
206,0.108,19.656,0,I
207,0.273,13.448,0,I
208,0.243,15.279,0,I
209,0.211,11.495,0,I
210,0.143,12.686,0,I
211,0.166,17.784,0,I
212,0.223,15.212,0,I
213,0.123,16.23,0,I
214,0.085,17.121,0,I
215,0.158,13.544,0,I
216,0.157,19.887,0,I
217,0.212,18.851,0,I
218,0.192,6.39,0,I
219,0.18,10.227,0,I
220,0.188,14.55,0,I
221,0.654,16.852,0,I
222,0.486,12.759,0,I
223,0.429,9.889,0,I
224,0.174,9.281,0,I
225,0.5,8.702,0,I
226,0.659,5.375,0,I
227,0.318,4.1,0,I
228,0.31,1.991,0,I
229,0.306,3.409,0,I
230,0.249,5.731,0,I
231,0.694,6.991,0,I
232,0.208,1.64,0,I
233,0.393,1.618,0,I
234,0.175,0.787,0,I
235,0.074,0.599,0,I
236,0.677,0.842,0,I
237,0.292,0.924,0,I
238,0.153,0.36,0,I
239,0.368,0.655,0,I
240,0.139,0.458,0,I
241,0.089,0.913,0,I
242,0.157,3.465,0,I
243,0.43,4.956,0,I
244,0.281,3.789,0,I
245,0.189,6.062,0,I
246,0.267,9.614,0,I
247,0.522,8.89,0,I
248,0.491,13.64,0,I
249,0.297,4.162,0,I
250,0.495,1.625,0,I
251,0.548,12.398,0,I
252,0.548,7.67,0,I
253,0.501,18.162,0,I
254,0.069,4.741,0,I
255,0.484,11.496,0,I
256,0.298,6.642,0,I
257,0.351,5.042,0,I
258,0.438,5.704,0,I
259,0.12,5.57,0,I
260,0.216,10.908,0,I
261,0.398,16.139,0,I
262,0.284,16.841,0,I
263,0.16,15.678,0,I
264,0.42,20.206,0,I
265,0.375,22.38,0,I
266,0.099,14.508,0,I
267,0.408,21.446,0,I
268,0.398,18.634,0,I
269,0.554,17.433,0,I
270,0.559,19.587,0,I
271,0.247,20.987,0,I
272,0,9.491,0,I
273,0.285,14.978,0,I
274,0.449,9.914,0,I
275,0.372,4.98,0,I
276,0.039,1.259,0,I
277,0.025,5.622,0,I
278,0.168,11.172,0,I
279,0.228,11.324,0,I
280,0.172,1.377,0,I
281,0.026,13.524,0,I
282,0.06,5.799,0,I
283,0.095,16.982,0,I
284,0.24,17.646,0,I
285,0,11.759,0,I
286,0.119,10.589,0,I
287,0.195,8.246,0,I
288,0.162,8.846,0,I
289,0.102,7.814,0,I
290,0.139,5.23,0,I
291,0.136,5.038,0,I
292,0.19,4.378,0,I
293,0.033,8.894,0,I
294,0.443,3.399,0,I
295,0.053,4.38,0,I
296,0.247,3.52,0,I
297,0.254,1.366,0,I
298,0.665,1.403,0,I
299,0.231,0.356,0,I
300,0.348,2.235,0,I
301,0.257,0.591,0,I
302,0.167,0.968,0,I
303,0.198,2.171,0,I
304,0.232,0.7,0,I
305,0.148,0.42,0,I
306,0.166,3.246,0,I
307,0.019,3.415,0,I
308,0,9.068,0,I
309,0,17.118,0,I
310,0,23.634,0,I
311,0,16.927,0,I
312,0,15.007,0,I
313,0.022,6.885,0,I
314,0.457,1.209,0,I
315,0,3.105,0,I
316,0,1.043,0,I
317,0.899,0.858,0,I
318,0.261,2.965,0,I
319,0.235,1.847,0,I
320,0.457,0.684,0,I
321,0.201,0.845,0,I
322,0.251,1.606,0,I
323,0.166,0.86,0,I
324,0.2,0.759,0,I
325,0.397,1.922,0,I
326,0.229,0.666,0,I
327,0.37,0.816,0,I
328,0.411,0.455,0,I
329,0.27,0.467,0,I
330,0.405,1.202,0,I
331,0.485,0.745,0,I
332,1,1.422,0,I
333,0.25,0.565,0,I
334,0.783,0.492,0,I
335,0.49,0.596,0,I
336,0.7,0.884,0,I
337,0.833,0.522,0,I
338,0.381,0.693,0,I
339,0.46,1.419,0,I
340,0.24,0.483,0,I
341,0,0.85,0,I
342,0,1.794,0,I
343,0,0.82,0,I
344,0.255,0.647,0,I
345,0,1.988,0,I
346,0.186,1.622,0,I
347,0.38,0.618,0,I
348,0,1.588,0,I
349,0,1.077,0,I
350,0,2.417,0,I
351,0.015,4.361,0,I
352,0.409,1.086,0,I
353,0,0.574,0,I
354,0.317,0.489,0,I
355,0,2.395,0,I
356,0.029,4.948,0,I
357,0,2.073,0,I
358,0,0.569,0,I
359,0.346,0.456,0,I
360,0.114,0.769,0,I
361,0.087,0.673,0,I
362,0,0.574,0,I
363,0,0.465,0,I
364,0.254,0.595,0,I
365,0.085,0.545,0,I
366,0.313,1.195,0,I
367,0,0.679,0,I
368,0.489,0.414,0,I
369,0.718,0.385,0,I
370,0.685,1.564,0,I
371,0.19,0.494,0,I
372,0.141,0.53,0,I
373,0.099,11.316,0,I
374,0.154,20.406,0,I
375,0,19.998,0,I
376,0,12.066,0,I
377,0.454,6.584,0,I
378,0.343,3.003,0,I
379,0.015,0.844,0,I
380,0.064,0.332,0,I
381,0.206,0.456,0,I
382,0.181,1.879,0,I
383,0.008,1.772,0,I
384,0.245,5.245,0,I
385,0.195,11.789,0,I
386,0.149,19.358,0,I
387,0,7.812,0,I
388,0.153,15.263,0,I
389,0.164,0.941,0,I
390,0.067,4.6,0,I
391,0,10.136,0,I
392,0.108,15.475,0,I
393,0.233,15.249,0,I
394,0.181,10.328,0,I
395,0.034,7.371,0,I
396,0.164,4.587,0,I
397,0.408,3.555,0,I
398,0.129,6.27,0,I
399,0.451,3.36,0,I
400,0.141,0.765,0,I
401,0.045,0.576,0,I
402,0.292,1.712,0,I
403,0.182,0.611,0,I
404,0.275,1.538,0,I
405,0.056,0.569,0,I
406,0.247,0.8,0,I
407,0.181,0.43,0,I
408,0.035,0.292,0,I
409,0,0.653,0,I
410,0,0.462,0,I
411,0.053,1.019,0,I
412,0.05,0.754,0,I
413,0.17,0.805,0,I
414,0.527,1.181,0,I
415,0.171,0.815,0,I
416,0.393,0.745,0,I
417,0.317,0.732,0,I
418,0.143,0.488,0,I
419,0.188,0.496,0,I
420,0.015,0.783,0,I
421,0,0.402,0,I
422,0,0.57,0,I
423,0.105,0.367,0,I
424,0.164,0.894,0,I
425,0.706,0.681,0,I
426,0.059,1.94,0,I
427,0.153,0.309,0,I
428,0.161,0.606,0,I
429,0.156,2.037,0,I
430,0.244,0.837,0,I
431,0.059,3.861,0,I
432,0.166,3.055,0,I
433,0.262,9.509,0,I
434,0.331,14.078,0,I
435,0.133,0.678,0,I
436,0.091,0.635,0,I
437,0.109,4.123,0,I
438,0.133,13.241,0,I
439,0.506,13.483,0,I
440,0.129,23.396,0,I
441,0.175,15.953,0,I
442,0.434,16.402,0,I
443,0.273,21.261,0,I
444,0.177,10.406,0,I
445,0.478,5.973,0,I
446,0,1.468,0,I
447,0.103,0.643,0,I
448,0.652,3.585,0,I
449,0.4,0.545,0,I
450,0.453,2.065,0,I
451,0.046,0.261,0,I
452,0.214,3.491,0,I
453,0.352,0.852,0,I
454,0.228,1.439,0,I
455,0.122,0.443,0,I
456,0.15,1.304,0,I
457,0.183,3.172,0,I
458,0,0.88,0,I
459,0.132,8.193,0,I
460,0.103,0.499,0,I
461,0.787,1.74,0,I
462,0.204,0.506,0,I
463,0.162,0.463,0,I
464,0.228,0.651,0,I
465,0,1.002,0,I
466,0.135,0.552,0,I
467,0.154,0.959,0,I
468,0,2.206,0,I
469,0.262,4.098,0,I
470,0.12,5.396,0,I
471,0.101,15.065,0,I
472,0.181,11.97,0,I
473,0.082,1.152,0,I
474,0.157,1.06,0,I
475,0.069,10.744,0,I
476,0.14,12.054,0,I
477,0.187,6.44,0,I
478,0.314,3.324,0,I
479,0.654,0.75,0,I
480,0.066,0.592,0,I
481,0.14,0.536,0,I
482,0.29,0.345,0,I
483,0.165,0.566,0,I
484,0.034,0.718,0,I
485,0,0.837,0,I
486,0,1.208,0,I
487,0.214,2.914,0,I
488,0.031,7.64,0,I
489,0,1.679,0,I
490,0.071,8.78,0,I
491,0.153,11.754,0,I
492,0,0.92,0,I
493,0,4.093,0,I
494,0.038,5.85,0,I
495,0.155,5.86,0,U
496,0.725,0.983,0,I
497,0.267,1.462,0,I
498,0.048,5.768,0,I
499,0,8.069,0,I
500,0,2.213,0,I
501,0,1.302,0,I
502,0.055,10.821,0.03,U
503,0.091,8.608,0.07,I
504,0.202,5.535,0,I
505,0.34,6.528,0.099,I
506,0.247,1.849,0,I
507,0,4.696,0,I
508,0.088,1.262,0,I
509,0.02,0.857,0,I
510,0.155,0.414,0,I
511,0.481,0.764,0,I
512,0,0.659,0,I
513,0.217,1.095,0,I
514,0.069,0.639,0,I
515,0.16,0.308,0,I
516,0.167,0.661,0,I
517,0.547,0.478,0,I
518,0.13,0.555,0,I
519,0.021,0.443,0,I
520,0.19,0.541,0,I
521,0.572,0.447,0,I
522,0.3,0.301,0,I
523,0.122,0.439,0,I
524,0.31,0.603,0,I
525,0.223,0.596,0,I
526,0.238,0.517,0,I
527,0.113,0.499,0,I
528,0.294,0.449,0,I
529,0,0.455,0,I
530,0,0.738,0,I
531,0.312,0.893,0,I
532,0,0.473,0,I
533,0.065,2.333,0,I
534,0.214,2.399,0,I
535,0.989,0.492,0,I
536,0.215,4.137,0,I
537,0.519,0.762,0,I
538,0.944,3.14,0,I
539,0.571,2.139,0,I
540,0.581,1.77,0,I
541,0.689,0.666,0,I
542,0.364,0.859,0,I
543,0.111,1.466,0,I
544,0.497,0.57,0,I
545,0.314,0.477,0,I
546,0.055,0.405,0,I
547,0.331,0.381,0,I
548,0.167,0.583,0,I
549,0.159,0.372,0,I
550,0.158,0.525,0,I
551,0.275,0.604,0,I
552,0,0.396,0,I
553,0.415,0.728,0,I
554,0.277,0.404,0,I
555,0.255,0.354,0,I
556,0.036,0.834,0,I
557,0.018,0.477,0,I
558,0.149,0.507,0,I
559,0.168,0.331,0,I
560,0.1,0.474,0,I
561,0.313,0.362,0,I
562,0.196,0.349,0,I
563,0.097,0.5,0,I
564,0.2,0.29,0,I
565,0.205,0.376,0,I
566,0.203,0.278,0,I
567,0.564,0.39,0,I
568,0.519,0.413,0,I
569,0.182,0.649,0,I
570,0.094,0.554,0,I
571,0.073,0.204,0,I
572,0.23,0.281,0,I
573,0.377,0.308,0,I
574,0.017,0.42,0,I
575,0.404,0.322,0,I
576,0.191,0.396,0,I
577,0.36,0.408,0,I
578,0.451,0.471,0,I
579,0.197,0.47,0,I
580,0.145,0.413,0,I
581,0.019,0.389,0,I
582,0.122,0.325,0,I
583,0.075,0.343,0,I
584,0.219,0.559,0,I
585,0.048,0.513,0,I
586,0.642,0.471,0,I
587,0.188,0.744,0,I
588,0.091,0.687,0,I
589,0.319,0.289,0,I
590,0.168,0.335,0,I
591,0.139,0.537,0,I
592,0.036,0.374,0,I
593,0.191,0.304,0,I
594,0.197,0.374,0,I
595,0.062,0.327,0,I
596,0.194,0.37,0,I
597,0.14,0.402,0,I
598,0.176,0.377,0,I
599,0.119,2.607,0,I
600,0.208,0.314,0,I
601,0.357,0.608,0,I
602,0.171,0.273,0,I
603,0.026,0.255,0,I
604,0.107,0.476,0,I
605,0.024,0.246,0,I
606,0.08,0.261,0,I
607,0.242,0.18,0,I
608,0.109,0.331,0,I
609,0.124,0.348,0,I
610,0.213,0.296,0,I
611,0.262,0.243,0,I
612,0.162,0.395,0,I
613,0.085,0.313,0,I
614,0.083,0.588,0,I
615,0.182,0.896,0,I
616,0.095,0.644,0,I
617,0.523,0.821,0,I
618,0.314,0.825,0,I
619,0.163,0.614,0,I
620,0.343,1.3,0,I
621,0.13,0.461,0,I
622,0.178,0.559,0,I
623,0.024,0.412,0,I
624,0.235,0.25,0,I
625,0.046,0.697,0,I
626,0.123,0.346,0,I
