"inSALMO cell data file, Clear Creek site Upper Isolation",,,,
Developed from USFWS data; from J. White 12/4/2012,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1,0.252,3.128,0.236,I
2,0,2.259,0.103,I
3,0.538,0.669,0,I
4,0.056,1.117,0,I
5,0.145,0.751,0,I
6,0.053,0.624,0,I
7,0,0.618,0,I
8,0.347,0.721,0,I
9,1,0.816,0,I
10,0,0.588,0,I
11,0.296,0.383,0,I
12,0.197,3.805,0,I
13,0.29,3.325,0.286,I
14,0.236,2.329,0.27,I
15,0.492,0.697,0,I
16,0,0.704,0,I
17,0,0.668,0,I
18,0.314,0.954,0.757,I
19,0.338,0.691,0.754,I
20,0.249,0.693,0,I
21,0.399,0.763,0,I
22,0.079,0.859,0,I
23,0.164,0.566,0,I
24,0.13,0.799,0,I
25,0.262,1.422,0.315,I
26,0.349,0.645,0.093,I
27,0.465,1.096,0,I
28,0.051,0.745,0,I
29,0.129,0.325,0.276,I
30,0.268,0.635,0.469,I
31,0.392,0.85,0,I
32,0.166,0.801,0.137,I
33,0.63,0.82,0,I
34,0.322,0.995,0,I
35,0.314,0.947,0,I
36,0,0.359,0.304,I
37,0.454,0.408,0.058,I
38,0.103,0.414,0.008,I
39,0.169,0.675,0,I
40,0.171,0.854,0.378,I
41,0.989,2.291,0.579,I
42,0.178,1.358,0,I
43,0,0.629,0,I
44,0,1.095,0,I
45,0.312,1.366,0.032,I
46,0.136,1.683,0.035,I
47,0.11,26.93,0.45,I
48,0,23.293,1,I
49,0.187,21.465,0.769,I
50,0,23.052,0.462,I
51,0.017,16.147,0.007,I
52,0,11.559,0.974,I
53,0,15.088,0.963,I
54,0,17.451,1,I
55,0,11.323,1,I
56,0,4.655,0.804,I
57,0,30.259,0.917,I
58,0.238,1.799,0.161,I
59,0.002,1.032,0,I
60,0,3.281,0,I
61,0,1.908,0,I
62,0.35,1.135,0,I
63,0.052,2.428,0,I
64,0.07,1.626,0,I
65,0.001,6.623,0,I
66,0.381,1.188,0,I
67,0.325,0.669,0,I
68,0.206,2.006,0,I
69,0.391,1.506,0.102,I
70,0,4.05,0.201,I
71,0,10.764,0,I
72,0.222,0.691,0,I
73,0.17,1.149,0,I
74,0.361,1.036,0,I
75,0.309,0.592,0.137,I
76,0.418,1.033,0.047,I
77,0.352,0.663,0.576,I
78,0.301,1.421,0.071,I
79,0.44,4.634,0.83,I
80,0.206,12.287,1,I
81,0.262,1.752,0.381,I
82,0,1.002,0.113,I
83,0.185,0.975,0.295,I
84,0,7.828,1,I
85,0,13.293,1,I
86,0.35,2.69,0.907,I
87,1,1.377,0.802,I
88,0.088,1.048,0.285,I
89,0.244,4.047,0.965,I
90,0,11.877,1,I
91,0.562,4.689,0.91,I
92,0.256,19.712,0.618,I
93,0,19.176,0.999,I
94,0,10.799,1,I
95,0,1.318,0.188,I
96,0.319,1.388,0.641,I
97,0.271,2.199,0.035,I
98,0.406,1.933,0.564,I
99,0.078,1.843,0.728,I
100,0.198,7.46,0.938,I
101,0,7.699,0.858,I
102,0,4.771,1,I
103,0,8.552,0.999,I
104,0,12.784,0.949,U
105,0.736,5.029,0.965,I
106,0,8.621,0.964,U
107,0.15,6.656,0.993,I
108,0.195,4.161,0.779,I
109,0,6.319,0.765,I
110,0,12.555,0.058,I
111,0,26.378,0.697,I
112,0,30.676,0.267,D
113,0.513,0.912,0,I
114,0,18.44,0.068,D
115,0,8.741,0.437,I
116,0,6.115,0,I
117,0,2.002,0,I
118,0,22.544,0.82,I
119,0,4.365,0,I
120,0,32.983,0.341,I
121,0,38.532,0.986,I
122,0,31.815,0.177,I
123,0.043,7.408,0.004,I
124,0,12.752,1,I
125,0,22.396,1,I
126,0,41.436,0.983,I
127,0,34.022,1,I
128,0.326,3.118,0.244,I
129,0,23.138,0.335,I
130,0.026,3.56,0.876,I
131,0,38.463,0.759,I
132,0,40.616,0.932,I
133,0,17.904,0.842,I
134,0,34.239,0.747,I
135,0.126,2.085,0.638,I
136,0.282,1.722,0.093,I
137,0.144,11.584,0.994,I
138,0,25.267,0.725,I
139,0.367,7.075,0.28,I
140,0.174,13.922,0.918,I
141,0.326,1.692,0,I
142,0.218,1.277,0,I
143,0.285,2.184,0,I
144,0.247,4.631,0.079,I
