Clear Creek Site 3A Cell habitat variables file
Last modified: SFR 4/20/2011				
Cell#	FracVelocityShelter	DistToHidingCover	FracSpawnGravel	ReachEndCode
2	0.1	0.5	0	U
4	0	2.2	0	I
5	0.1	1.5	0	U
6	0.1	1.5	0	U
7	0.1	1.5	0.5	U
8	0	6	1	U
10	0	8	1	U
12	0.1	0.1	0	I
13	0.1	0.5	0	U
14	0.2	0.6	0	I
15	0.2	0.6	0	I
17	0.1	0.5	0	U
19	0.2	0.6	0	I
20	0.1	0.3	0	U
21	0	2.5	0.5	U
22	0.2	0.6	0.5	I
24	0.1	0.3	0	I
25	0.1	0.4	0	I
26	0	8	1	I
27	0	8	1	I
29	0.1	0.5	0	I
30	0	3.5	1	I
32	0	6	0.5	I
34	0.2	0.1	0	I
35	0	3.5	0.5	I
38	0	1.5	0	I
39	0.2	0.1	0	I
40	0.1	0.5	0	I
42	0.2	0.1	0	I
43	0	8	1	I
44	0	2.5	0	I
45	0.2	0.5	0	I
47	0	0.5	0	I
49	0	0	0	I
50	0	0	0	I
51	0	3	0.5	I
53	0	0.6	0	I
54	0	0.6	0	I
55	0.1	0.6	0	I
57	0.2	0.5	0	U
58	0	0.5	0	I
61	0.1	2	0	I
62	0	0	0.3	I
63	0.2	4	1	I
65	0	6	1	I
67	0	2.5	0	I
68	0.1	2	0	I
69	0	7	1	I
70	0	8	1	I
72	0	2.5	0	I
74	0	6	0.8	I
78	0	1	0	I
79	0.1	1.5	0	I
81	0	0.4	0	I
82	0	4	0	I
84	0	0.5	0	I
86	0.1	1.5	0	I
87	0	10	0	I
88	0	5	0.7	I
89	0	7	0	I
90	0	1	0	I
91	0	7	1	I
94	0	5	0.2	I
95	0	10	0	I
96	0	6	0.8	I
97	0	7	1	I
99	0	10	0.8	I
100	0	3	0	I
101	0	1.5	0	I
103	0	1.2	0	I
105	0.1	0.4	0	I
106	0	7	0.5	I
107	0	8	0	I
108	0.2	7	1	I
109	0	8	1	I
110	0	5	0	I
111	0	3	0	I
112	0	8	1	I
115	0	3	0	I
116	0	3	0	I
117	0	0.8	0	I
118	0	0.2	0	I
119	0	8	0.8	I
120	0	8	0.7	I
121	0.3	0.2	0	I
123	0	3	0	I
124	0	0.5	0	I
125	0	0.7	0	I
126	0.3	0.2	0	I
127	0	3	0	I
128	0	8	1	I
129	0	10	1	I
130	0	10	1	I
131	0	3	0.9	I
132	0.3	0.2	0	I
133	0	6	0.3	I
134	0.1	0.8	0	I
135	0	5	0.3	I
136	0	3	0.4	I
137	0.1	1	0	I
138	0	8	0	I
139	0.1	0.9	0	I
140	0	0.7	0	I
141	0	3	0.8	I
142	0	0.2	0	I
143	0	10	1	I
144	0.1	0.2	0	I
145	0	5	0.9	I
146	0.1	0.2	0	I
147	0	7	0.5	I
148	0.1	3	0.5	I
149	0	8	0.7	I
150	0	6	1	I
151	0.1	0.9	0	I
152	0.1	1	0.2	I
153	0.1	0.7	0	I
154	0.1	0.4	0	I
155	0.1	0.6	0.2	I
156	0	10	1	I
157	0	8	1	I
158	0	8	1	I
159	0.1	1	0	I
160	0.1	0.8	0	I
161	0	10	0	I
162	0	8	1	I
163	0.1	0.4	0	I
164	0	0.2	0.2	I
165	0.1	0.2	0	I
166	0.1	0.7	0	I
167	0.2	1	0	I
168	0	4	0.8	I
169	0.1	1.5	0	I
170	0.1	0.5	0	I
171	0.1	1	0	I
172	0	7	1	I
173	0	2.5	0.2	I
174	0	6	1	I
175	0	7	1	I
176	0	10	1	I
177	0.1	0.8	0	I
179	0	7	1	I
180	0.1	0.6	0	I
181	0.1	0.2	0	I
182	0	6	0	I
183	0.1	3	1	I
