poly_id	vs_pct	dc_m	GR_pct	Reach_End
poly_id	vs_pct	dc_m	GR_pct	Reach_End
poly_id	vs_pct	dc_m	GR_pct	Reach_End
2	0.00	2.5000	0.00	I
3	0.00	8.0000	0.20	U
4	5.00	0.5000	0.00	U
5	0.00	9.0000	0.00	I
6	0.05	0.5000	0.00	U
7	0.00	4.0000	0.10	I
8	0.10	0.4000	0.10	I
9	0.00	9.0000	0.10	I
10	0.00	4.0000	0.20	I
11	0.00	8.0000	0.20	U
12	0.10	2.5000	0.00	I
13	0.00	1.0000	0.00	I
14	0.05	0.5000	0.00	I
15	0.20	0.5000	0.00	I
16	0.05	0.5000	0.10	I
17	0.05	0.7000	0.00	I
18	0.00	4.0000	0.40	I
19	0.20	0.3000	0.00	I
20	0.00	4.0000	0.20	I
21	0.00	5.0000	0.20	I
22	0.00	6.0000	0.20	I
23	0.10	0.4000	0.00	I
24	0.00	4.0000	0.00	I
25	0.05	1.0000	0.20	I
26	0.00	2.0000	0.40	I
27	0.00	4.0000	0.00	I
28	0.00	0.5000	0.00	I
29	0.00	10.0000	0.00	I
30	0.05	0.5000	0.00	I
31	0.00	1.0000	0.00	I
32	0.00	0.3000	0.00	I
33	0.00	4.0000	0.80	I
34	0.10	1.2000	0.00	I
35	0.05	1.0000	0.00	I
36	0.00	0.4000	0.00	I
37	0.00	0.5000	0.00	I
38	0.00	0.5000	0.00	I
39	0.00	4.0000	0.00	I
40	0.00	0.8000	0.00	I
41	0.00	0.6000	0.00	I
42	0.05	5.0000	0.00	I
43	0.00	0.8000	0.00	I
44	0.00	0.5000	0.00	I
45	0.00	0.6000	0.00	I
46	0.00	6.0000	0.80	I
47	0.00	3.0000	0.90	I
48	0.00	0.8000	0.00	I
49	0.00	5.0000	0.80	I
50	0.00	1.2000	0.00	I
51	0.00	0.3000	0.00	I
52	0.40	3.0000	0.00	I
53	0.00	5.0000	0.80	I
54	0.05	0.3000	0.00	I
55	0.00	0.5000	0.00	I
56	0.00	5.0000	0.80	I
57	0.00	5.0000	0.80	I
58	0.00	6.0000	0.60	I
59	0.00	1.0000	0.00	I
60	0.20	0.5000	0.00	I
61	0.00	5.0000	0.80	I
62	0.05	1.5000	0.00	I
63	0.40	3.0000	0.00	I
64	0.00	6.0000	0.80	I
65	0.00	4.0000	0.60	I
66	0.00	4.3000	0.60	I
67	0.00	1.5000	0.00	I
68	0.00	6.0000	0.00	I
69	0.05	1.5000	0.00	I
70	0.00	5.0000	0.80	I
71	0.00	3.0000	0.80	I
72	0.00	4.0000	0.60	I
73	0.00	3.0000	0.20	I
74	0.00	6.0000	0.60	I
75	0.10	1.0000	0.00	I
76	0.10	0.5000	0.00	I
77	0.00	5.0000	0.60	I
78	0.00	5.0000	0.80	I
79	0.00	4.0000	0.20	I
80	0.00	1.0000	0.00	I
81	0.00	5.0000	0.80	I
82	0.00	4.0000	0.00	I
83	0.00	4.0000	0.10	I
84	0.00	1.0000	0.00	I
85	0.00	1.5000	0.00	I
86	0.00	4.0000	0.60	I
87	0.00	3.0000	0.00	I
88	0.02	1.2000	0.00	I
89	0.05	0.6000	0.00	I
90	0.05	0.7000	0.00	I
91	0.05	1.0000	0.00	I
92	0.00	2.0000	0.00	I
93	0.00	2.0000	0.00	I
94	0.00	0.3000	0.00	I
95	0.05	0.5000	0.00	I
96	0.00	1.5000	0.00	I
97	0.02	1.0000	0.00	I
98	0.15	0.3000	0.00	I
99	0.05	0.5000	0.00	I
100	0.00	6.0000	0.60	I
101	0.00	4.0000	0.60	I
102	0.00	4.0000	0.80	I
103	0.02	2.5000	0.00	I
104	0.00	0.3000	0.00	I
105	0.00	4.0000	0.20	I
106	0.00	6.0000	0.60	I
107	0.00	3.0000	0.00	I
108	0.00	6.0000	0.60	I
109	0.00	1.5000	0.00	I
110	0.00	0.6000	0.00	I
111	0.00	4.0000	0.00	I
112	0.00	1.2000	0.00	I
113	0.00	0.5000	0.00	I
114	0.00	1.0000	0.00	I
115	0.00	0.6000	0.00	I
116	0.00	0.5000	0.00	I
117	0.00	0.7000	0.00	I
118	0.05	0.4000	0.00	I
119	0.05	4.0000	0.00	I
120	0.00	0.8000	0.00	I
121	0.05	0.7000	0.00	I
122	0.00	4.0000	0.00	I
123	0.00	6.0000	0.60	I
124	0.00	4.0000	0.80	I
