Example flow input for inSTREAM,SFR 12/20/2010
Based on USGS 11372000. Flow in m3/s,
Date,Flow
10/24/1940,4.90
10/25/1940,3.03
10/26/1940,1.81
10/27/1940,1.59
10/28/1940,1.59
10/29/1940,2.10
10/30/1940,2.10
10/31/1940,1.87
11/1/1940,3.20
11/2/1940,3.68
11/3/1940,2.75
11/4/1940,2.24
11/5/1940,2.10
11/6/1940,2.29
11/7/1940,3.17
11/8/1940,3.17
11/9/1940,2.55
11/10/1940,2.04
11/11/1940,1.95
11/12/1940,1.90
11/13/1940,1.87
11/14/1940,1.78
11/15/1940,1.73
11/16/1940,1.59
11/17/1940,1.59
11/18/1940,1.59
11/19/1940,1.53
11/20/1940,1.59
11/21/1940,1.64
11/22/1940,1.64
11/23/1940,1.64
11/24/1940,1.59
11/25/1940,1.56
11/26/1940,1.53
11/27/1940,1.53
11/28/1940,1.53
11/29/1940,1.53
11/30/1940,1.53
12/1/1940,1.47
12/2/1940,1.47
12/3/1940,1.47
12/4/1940,1.47
12/5/1940,1.47
12/6/1940,1.47
12/7/1940,1.47
12/8/1940,1.47
12/9/1940,1.47
12/10/1940,1.44
12/11/1940,1.44
12/12/1940,1.42
12/13/1940,1.42
12/14/1940,1.30
12/15/1940,1.47
12/16/1940,1.81
12/17/1940,20.05
12/18/1940,73.62
12/19/1940,18.72
12/20/1940,107.32
12/21/1940,156.59
12/22/1940,84.10
12/23/1940,154.61
12/24/1940,248.06
12/25/1940,134.22
12/26/1940,141.02
12/27/1940,181.79
12/28/1940,78.15
12/29/1940,52.39
12/30/1940,39.64
12/31/1940,31.43
1/1/1941,26.67
1/2/1941,23.50
1/3/1941,21.92
1/4/1941,20.50
1/5/1941,22.91
1/6/1941,48.70
1/7/1941,59.47
1/8/1941,66.54
1/9/1941,53.80
1/10/1941,42.48
1/11/1941,35.40
1/12/1941,30.87
1/13/1941,66.54
1/14/1941,108.17
1/15/1941,79.85
1/16/1941,58.62
1/17/1941,47.01
1/18/1941,41.63
1/19/1941,91.75
1/20/1941,92.31
1/21/1941,113.27
1/22/1941,122.90
1/23/1941,147.25
1/24/1941,133.66
1/25/1941,181.79
1/26/1941,153.48
1/27/1941,98.54
1/28/1941,71.64
1/29/1941,56.35
1/30/1941,47.29
1/31/1941,41.06
2/1/1941,37.66
2/2/1941,33.98
2/3/1941,31.15
2/4/1941,29.17
2/5/1941,27.92
2/6/1941,81.55
2/7/1941,66.83
2/8/1941,107.04
2/9/1941,140.45
2/10/1941,140.45
2/11/1941,152.06
2/12/1941,117.51
2/13/1941,86.93
2/14/1941,67.68
2/15/1941,56.92
2/16/1941,54.65
2/17/1941,49.27
2/18/1941,47.01
2/19/1941,43.32
2/20/1941,40.21
2/21/1941,37.66
2/22/1941,35.96
2/23/1941,37.10
2/24/1941,50.69
2/25/1941,43.61
2/26/1941,41.34
2/27/1941,87.22
2/28/1941,240.13
3/1/1941,427.58
3/2/1941,237.01
3/3/1941,171.60
3/4/1941,161.41
3/5/1941,120.35
3/6/1941,91.18
3/7/1941,71.92
3/8/1941,59.47
3/9/1941,50.97
3/10/1941,45.87
3/11/1941,43.04
3/12/1941,39.08
3/13/1941,35.11
3/14/1941,32.28
3/15/1941,30.02
3/16/1941,28.60
3/17/1941,27.13
3/18/1941,25.74
3/19/1941,24.55
3/20/1941,22.96
3/21/1941,21.78
3/22/1941,20.78
3/23/1941,20.02
3/24/1941,19.09
3/25/1941,18.18
3/26/1941,17.61
3/27/1941,17.27
3/28/1941,17.81
3/29/1941,36.53
3/30/1941,127.71
3/31/1941,215.21
4/1/1941,169.62
4/2/1941,150.36
4/3/1941,145.83
4/4/1941,353.96
4/5/1941,207.00
4/6/1941,122.90
4/7/1941,88.35
4/8/1941,69.66
4/9/1941,65.13
4/10/1941,64.85
4/11/1941,54.93
4/12/1941,48.99
4/13/1941,44.74
4/14/1941,41.06
4/15/1941,38.51
4/16/1941,35.96
4/17/1941,33.41
4/18/1941,31.15
4/19/1941,29.45
4/20/1941,27.92
4/21/1941,26.73
4/22/1941,25.74
4/23/1941,24.75
4/24/1941,24.15
4/25/1941,23.36
4/26/1941,22.77
4/27/1941,21.97
4/28/1941,21.38
4/29/1941,24.75
4/30/1941,25.74
5/1/1941,22.96
5/2/1941,26.53
5/3/1941,30.30
5/4/1941,37.66
5/5/1941,35.96
5/6/1941,32.28
5/7/1941,29.17
5/8/1941,27.13
5/9/1941,25.15
5/10/1941,23.56
5/11/1941,22.57
5/12/1941,22.17
5/13/1941,26.33
5/14/1941,23.76
5/15/1941,21.58
5/16/1941,20.22
5/17/1941,19.48
5/18/1941,18.35
5/19/1941,17.08
5/20/1941,15.97
5/21/1941,15.26
5/22/1941,14.72
5/23/1941,14.58
5/24/1941,14.41
5/25/1941,13.93
5/26/1941,14.27
5/27/1941,13.31
5/28/1941,12.69
5/29/1941,14.41
5/30/1941,13.48
5/31/1941,13.62
6/1/1941,12.23
6/2/1941,11.50
6/3/1941,11.04
6/4/1941,10.31
6/5/1941,9.91
6/6/1941,9.77
6/7/1941,9.34
6/8/1941,9.09
6/9/1941,8.58
6/10/1941,8.21
6/11/1941,7.96
6/12/1941,7.70
6/13/1941,7.48
6/14/1941,7.39
6/15/1941,7.28
6/16/1941,7.05
6/17/1941,7.16
6/18/1941,7.28
6/19/1941,6.94
6/20/1941,6.43
6/21/1941,6.34
6/22/1941,6.43
6/23/1941,7.28
6/24/1941,7.96
6/25/1941,8.07
6/26/1941,8.83
6/27/1941,7.16
6/28/1941,6.43
6/29/1941,6.03
6/30/1941,5.64
7/1/1941,5.44
7/2/1941,5.27
7/3/1941,5.15
7/4/1941,4.98
7/5/1941,4.79
7/6/1941,4.62
7/7/1941,4.45
7/8/1941,4.28
7/9/1941,4.11
7/10/1941,3.94
7/11/1941,3.77
7/12/1941,3.71
7/13/1941,3.62
7/14/1941,3.57
7/15/1941,3.62
7/16/1941,3.57
7/17/1941,3.34
7/18/1941,3.20
7/19/1941,3.06
7/20/1941,2.97
7/21/1941,2.92
7/22/1941,2.78
7/23/1941,2.63
7/24/1941,2.58
7/25/1941,2.58
7/26/1941,2.63
7/27/1941,2.72
7/28/1941,2.63
7/29/1941,2.72
7/30/1941,2.44
7/31/1941,2.38
8/1/1941,2.29
8/2/1941,2.24
8/3/1941,2.18
8/4/1941,2.24
8/5/1941,2.18
8/6/1941,2.07
8/7/1941,2.04
8/8/1941,2.04
8/9/1941,1.93
8/10/1941,1.93
8/11/1941,1.93
8/12/1941,1.87
8/13/1941,1.93
8/14/1941,1.84
8/15/1941,1.76
8/16/1941,1.70
8/17/1941,1.70
8/18/1941,2.04
8/19/1941,1.84
8/20/1941,1.70
8/21/1941,1.67
8/22/1941,1.64
8/23/1941,1.59
8/24/1941,1.50
8/25/1941,1.50
8/26/1941,1.59
8/27/1941,1.50
8/28/1941,1.53
8/29/1941,1.47
8/30/1941,1.64
8/31/1941,1.64
9/1/1941,1.67
9/2/1941,1.93
9/3/1941,1.84
9/4/1941,1.64
9/5/1941,1.50
9/6/1941,1.47
9/7/1941,1.36
9/8/1941,1.33
9/9/1941,1.36
9/10/1941,1.33
9/11/1941,1.33
9/12/1941,1.36
9/13/1941,1.44
9/14/1941,1.47
9/15/1941,1.50
9/16/1941,1.47
9/17/1941,1.44
9/18/1941,1.39
9/19/1941,1.50
9/20/1941,1.47
9/21/1941,1.47
9/22/1941,1.39
9/23/1941,1.36
9/24/1941,1.36
9/25/1941,1.33
