Spawner Initialization file, Test version made up by SFR 7/13/10,,,,,,
Fall chinook in Clear Creek,,Save in .csv format,,,,,
Year,Arrival reach,Number of spawners,Arrival start date,Arrival end date,Arrival ratio,LengthMean,LengthSD
2000,ClearCreek-3A,100,10/2/2000,10/31/2000,0.0001,80,20
2001,ClearCreek-3A,100,10/2/2001,10/31/2001,0.0001,80,20
2002,ClearCreek-3A,100,10/2/2002,10/31/2002,0.0001,80,20
2003,ClearCreek-3A,100,10/2/2003,10/31/2003,0.0001,80,20
2004,ClearCreek-3A,100,10/2/2004,10/31/2004,0.0001,80,20
2005,ClearCreek-3A,100,10/2/2005,10/31/2005,0.0001,80,20
2006,ClearCreek-3A,100,10/2/2006,10/31/2006,0.0001,80,20
2007,ClearCreek-3A,100,10/2/2007,10/31/2007,0.0001,80,20
2008,ClearCreek-3A,100,10/2/2008,10/31/2008,0.0001,80,20
2009,ClearCreek-3A,100,10/2/2009,10/31/2009,0.0001,80,20
2000,ClearCreek-3C,100,10/2/2000,10/31/2000,0.0001,80,20
2001,ClearCreek-3C,100,10/2/2001,10/31/2001,0.0001,80,20
2002,ClearCreek-3C,100,10/2/2002,10/31/2002,0.0001,80,20
2003,ClearCreek-3C,100,10/2/2003,10/31/2003,0.0001,80,20
2004,ClearCreek-3C,100,10/2/2004,10/31/2004,0.0001,80,20
2005,ClearCreek-3C,100,10/2/2005,10/31/2005,0.0001,80,20
2006,ClearCreek-3C,100,10/2/2006,10/31/2006,0.0001,80,20
2007,ClearCreek-3C,100,10/2/2007,10/31/2007,0.0001,80,20
2008,ClearCreek-3C,100,10/2/2008,10/31/2008,0.0001,80,20
2009,ClearCreek-3C,100,10/2/2009,10/31/2009,0.0001,80,20
