Spawner Initialization file,Values estimated from CDF&G carcass counts, JWhite, July 2011,No data for 2009,
Fall chinook in Clear Creek,Save in .csv format,
Year,Arrival reach,Number of spawners,Fraction female,Arrival start date,Arrival end date,Arrival ratio,Female length mean,Female length SD
1998,ClearCreek-3A,324,0.58,10/02/1998,10/31/1998,0.0001,85,8.1
1999,ClearCreek-3A,580,0.51,10/02/1999,10/31/1999,0.0001,85,8.1
2000,ClearCreek-3A,485,0.5,10/02/2000,10/31/2000,0.0001,85,8.1
2001,ClearCreek-3A,788,0.51,10/02/2001,10/31/2001,0.0001,85,8.1
2002,ClearCreek-3A,1165,0.51,10/02/2002,10/31/2002,0.0001,85,8.1
2003,ClearCreek-3A,687,0.57,10/02/2003,10/31/2003,0.0001,85,8.1
2004,ClearCreek-3A,461,0.58,10/02/2004,10/31/2004,0.0001,85,8.1
2005,ClearCreek-3A,1075,0.65,10/02/2005,10/31/2005,0.0001,85,8.1
2006,ClearCreek-3A,611,0.57,10/02/2006,10/31/2006,0.0001,85,8.1
2007,ClearCreek-3A,299,0.64,10/02/2007,10/31/2007,0.0001,85,8.1
2008,ClearCreek-3A,557,0.65,10/02/2008,10/31/2008,0.0001,85,8.1
2009,ClearCreek-3A,600,0.57,10/02/2009,10/31/2009,0.0001,85,8.1
1998,ClearCreek-3C,304,0.58,10/02/1998,10/31/1998,0.0001,85,8.1
1999,ClearCreek-3C,545,0.51,10/02/1999,10/31/1999,0.0001,85,8.1
2000,ClearCreek-3C,455,0.5,10/02/2000,10/31/2000,0.0001,85,8.1
2001,ClearCreek-3C,739,0.51,10/02/2001,10/31/2001,0.0001,85,8.1
2002,ClearCreek-3C,1094,0.51,10/02/2002,10/31/2002,0.0001,85,8.1
2003,ClearCreek-3C,645,0.57,10/02/2003,10/31/2003,0.0001,85,8.1
2004,ClearCreek-3C,433,0.58,10/02/2004,10/31/2004,0.0001,85,8.1
2005,ClearCreek-3C,1009,0.65,10/02/2005,10/31/2005,0.0001,85,8.1
2006,ClearCreek-3C,573,0.57,10/02/2006,10/31/2006,0.0001,85,8.1
2007,ClearCreek-3C,281,0.64,10/02/2007,10/31/2007,0.0001,85,8.1
2008,ClearCreek-3C,522,0.65,10/02/2008,10/31/2008,0.0001,85,8.1
2009,ClearCreek-3C,600,0.57,10/02/2009,10/31/2009,0.0001,85,8.1
